"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
608,288230376151728128,5.00141,3,2048,50634,443,6,443,15,19,1748,17422,0,1151,116.5333,279.121,4.008366,0.3334273,0.9704663,2.999154,349.5014,-0.1176471,-0.8176317,2611,0,0,64,64,0,2,64,3008130770,14,1748,0,14,17422,0,1231,65535,129749.9,65535,131328,4,6,5,475,0,15,49,286,1460,64,2961074716,2462942987,0.001,2961074.857,1686848743,0.02247699,0.000651008,4.008148,0.2205414,0.867631,0.02265402,0,0,0,0,0,0,5,1,8,12,2.4,1.5,49540,2202182,"0"
604,288230376151728128,0,3,2048,46728,6556,6,6556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,1622609609,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000331008,0.000331008,0.000331008,0.000331008,0,0.000331008,0,3,0,0,0,0,1,1,2,2,2,1,1,0,"0"
9,288230376151728128,5.933916,3,2048,443,57633,6,443,19,13,17066,1766,0,1368,898.2105,534.1663,4.022451,0.3123114,0.9383197,3.201933,2876.01,0.1875,0.8124469,531,62327,3193,56,56,0,0,68,4036472828,19,17066,0,19,1766,0,10944,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,2294446915,1628496219,0.001,2294447.024,1687408719,0.000149952,9.9e-05,1.812888,0.1405236,0.4638354,0.3684256,0.9853031,0,0,0,0,0,1,6,5,13,13,2.6,75,68317,"0"
341,288230376151728128,4.996283,3,2048,49516,443,6,443,14,20,1750,17540,0,1153,125,287.6742,4.023109,0.3568774,1.000021,2.802083,350.2604,-0.1764706,-0.8185588,2611,0,0,64,64,0,2,64,2148657664,13,1750,0,13,17540,0,1233,65535,129518.2,65535,131328,4,5,5,475,0,14,46,286,1460,64,632923414,1185346355,0.001,632923.4441,1689168870,0.02260301,0.000569984,4.02289,0.212924,0.85079,0.02278106,0,0,0,0,0,0,7,1,8,14,2,1.75,29048,1035229,"0"
895,288230376151728128,4.99939,3,2048,49884,443,6,443,15,18,1750,17460,0,1153,116.6667,279.5474,4.016417,0.3332927,0.9718466,3.000366,350.0427,-0.09090909,-0.8178032,2611,0,0,64,64,0,2,64,1936068343,14,1750,0,14,17460,0,1233,65535,129857,65535,131328,4,6,5,475,0,15,49,286,1460,64,2776786690,2394783052,0.001,2776786.822,1687026716,0.02145702,0.000195968,4.016215,0.2331342,0.8901728,0.02175802,0,0,0,0,0,0,5,1,7,11,2.2,1.571429,75787,2799315,"0"
508,288230376151728128,0,3,2048,51542,53,17,53,1,1,42,146,42,42,42,0,0,0,0,0,0,0,-0.5531915,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02102998,0.02102998,0.02102998,0.02102998,0,0.02102998,0,0,0,0,0,0,6,1,22,22,3.666667,1,47547,1771331,"0"
246,288230376151728128,5.996889,3,2048,443,57803,6,443,19,14,17130,1766,0,1368,901.5789,526.1396,4.065173,0.3156257,0.9483203,3.168309,2856.481,0.1515152,0.8130822,531,1016,64504,56,56,0,0,68,2222220447,19,17130,0,19,1766,0,9994,65160,64517.18,64512,65160,2,0,0,795,0,19,59,286,1380,512,1946955057,2387540546,0.001,1946955.149,1687757164,0.000292992,0.000169984,1.836898,0.1327217,0.4554673,0.3587094,0.9902557,0,0,0,0,0,1,7,5,11,11,2.2,3087,2791474,"0"
687,288230376151728128,4.999215,3,2048,61424,443,6,443,16,20,1750,17541,0,1153,109.375,272.0483,4.090375,0.3124509,0.9610031,3.200502,350.055,-0.1111111,-0.8185682,2611,0,0,64,64,0,0,64,3246341424,15,1750,0,15,17541,0,1233,65535,130078.2,65535,131328,5,5,6,283,0,16,52,286,1460,64,1683287101,2238225581,0.001,1683287.181,1688090477,0.020536,0.000555968,4.090158,0.2152292,0.8652931,0.020872,0,0,0,0,0,0,5,1,8,12,2.4,1.5,54392,2330877,"0"
510,288230376151728128,34.710601,3,2048,58008,443,6,443,31,36,5999,14916,0,1212,193.5161,355.9442,29.99882,1.119697,5.204765,0.8930989,172.829,-0.07462686,-0.4263447,18995,0,0,64,64,0,0,64,1814596729,29,5999,0,30,14716,1,3217,65535,130965.6,65535,131328,8,8,9,283,72,31,100,318,1460,64,3218179105,3375332377,0.1,321817915.3,1367887416,0.02057501,0.000976,29.99863,2.645044,8.121602,0.02079501,0,2,0,0,0,0,10,1,2,22,2.2,11,59759,2118874,"0"
860,288230376151728128,4.991214,3,2048,443,49859,6,443,18,13,17493,1750,0,1368,971.8333,502.5417,4.066472,0.2772897,0.9107281,3.606337,3504.759,0.1612903,0.8181157,531,7335,58186,56,56,0,2,68,1327053335,18,17493,0,18,1750,0,10944,65160,64515.79,64512,65160,2,0,0,859,0,18,56,286,1380,512,2267840462,397751145,0.001,2267840.57,1687535537,0.000227008,8.6e-05,0.816209,0.06388862,0.2086682,0.301796,0.9246968,0,0,0,0,0,1,5,6,10,10,1.666667,10783,10305735,"0"
