"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
40,288230376151728128,5.987635,3,2048,443,53680,6,443,20,21,21364,1747,0,1440,1068.2,526.755,4.027712,0.2993818,0.9228635,3.340217,3568.02,-0.02439024,0.8488166,531,25808,39711,57,57,0,0,16452,287161143,20,21364,0,20,1747,0,4320,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,571599791,1754234746,0.001,571599.8182,1689632429,0.000147008,4.5e-05,1.859655,0.08916209,0.3863567,0.2981378,0.9361811,0,0,0,0,0,1,9,5,15,15,3,237,235103,"0"
42,288230376151728128,6.006688,3,2048,53681,443,6,443,17,21,1747,21405,0,1150,102.7647,264.5002,4.084109,0.3533346,0.9936661,2.830178,290.8425,-0.1052632,-0.8490843,2611,0,0,64,64,0,0,64,1790044075,16,1747,0,16,21405,0,1230,65535,129835.5,65535,132480,7,5,8,283,0,17,55,286,1460,64,1181788181,3776579218,0.004,4727152.949,1685476882,0.02349299,0.000486016,4.083881,0.2061516,0.8451755,0.023616,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,5143,82777,"0"
42,288230376151728128,6.008816,3,2048,443,53681,6,443,21,17,21405,1747,0,1440,1019.286,558.2677,4.083958,0.2861341,0.9123057,3.494865,3562.266,0.1052632,0.8490843,531,54418,11100,57,57,0,0,68,3621004860,21,21405,0,21,1747,0,11520,65160,64513.3,64512,65160,2,0,0,795,0,21,65,286,1452,512,3776581171,1181788181,0.004,15106325.4,1675097709,0.000123008,3.8e-05,1.82672,0.1078568,0.4168861,0.3140084,0.9423989,0,0,0,0,0,1,9,5,15,15,3,261,259799,"0"
43,288230376151728128,5.995615,3,2048,53682,443,6,443,22,22,1747,23253,0,1150,79.40909,236.2642,4.008522,0.272528,0.8825235,3.669348,291.3796,0,-0.86024,2611,0,0,64,64,0,0,64,1371354837,21,1747,0,21,23253,0,1230,65535,130041.1,65535,132480,11,7,12,283,0,22,70,286,1460,64,1696519588,4232157625,0.001,1696519.669,1688507521,0.02332902,0.000115008,4.008297,0.1895878,0.813278,0.02356301,0,0,0,0,0,0,10,1,6,18,1.8,3,5502,88353,"0"
43,288230376151728128,5.998657,3,2048,443,53682,6,443,22,22,23253,1747,0,1440,1056.955,531.4615,4.008402,0.2726662,0.8849301,3.667487,3876.367,0,0.86024,531,38006,27511,57,57,0,0,68,1943479031,22,23253,0,22,1747,0,4320,65160,64513.78,64512,65160,2,0,0,795,0,22,68,286,1452,512,4232159563,1696519588,0.001,4232159.764,1685971881,0.000233984,2.2e-05,1.884157,0.08625718,0.3833167,0.275845,0.8990844,0,0,0,0,0,1,10,5,17,17,3.4,285,285319,"0"
47,288230376151728128,0.002268,3,2048,53606,443,6,443,5,5,24,24,0,24,4.8,8.331146,0.001088,0.0004536,0.000417116,2204.585,10582.01,0,0,2067,0,0,64,64,0,0,64,562716349,5,24,0,5,0,1,24,2047,2047.51,2047,2048,0,1,1,281,8,5,15,258,0,1,1909482115,1650613000,1,1909482115,1.84467e+19,0,0.034924,0.034924,0.008731,0.0130965,0,0,7,0,0,0,0,10,1,2,16,1.6,8,5502,88353,"0"
47,288230376151728128,0.038253,3,2048,443,53606,6,443,5,5,24,24,0,24,4.8,7.308078,0.037503,0.0076506,0.01295191,130.7087,627.4018,0,0,19,0,1,55,55,0,0,16452,3102797247,2,24,0,3,0,0,0,251,122.99,0,251,1,0,0,285,0,3,9,258,0,1,1650613082,1909366982,0.001,1650613.16,1688553437,0,0.000310992,0.002578992,0.001063594,0.000769331,0.009794594,0.01311908,87,0,0,0,0,1,10,1,15,15,15,5,24,"0"
45,288230376151728128,6.00053,3,2048,53683,443,6,443,18,24,1747,24696,0,1150,97.05556,255.8576,4.048157,0.3333628,0.964657,2.999735,291.141,-0.1428571,-0.8678668,2611,0,0,64,64,0,0,64,168739044,17,1747,0,17,24696,0,1230,65535,129851.5,65535,132480,7,6,8,283,0,18,58,286,1460,64,3381130705,49866138,0.001,3381130.866,1686822916,0.02484102,5.7e-05,4.047971,0.1795383,0.7889562,0.02498701,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,5916,94271,"0"
45,288230376151728128,6.001686,3,2048,443,53683,6,443,24,18,24696,1747,0,1440,1029,553.1378,4.048092,0.2500702,0.8561071,3.998876,4114.844,0.1428571,0.8678668,531,36782,28733,57,57,0,0,68,78819999,24,24696,0,24,1747,0,5833,65160,64512.87,64512,65160,2,0,0,795,0,24,74,286,1452,512,49868078,3381130705,0.001,49868.08037,1690154179,0.000145984,5.5e-05,1.843933,0.1029601,0.4103526,0.2824984,0.8892925,0,0,0,0,0,1,9,5,15,15,3,310,311571,"0"
51,288230376151728128,0.001664,3,2048,53609,443,6,443,5,4,24,24,0,24,4.8,8.331146,0.000791,0.0003328,0.000299235,3004.808,14423.08,0.1111111,0,2067,0,0,64,64,0,0,64,1971948917,5,24,0,5,0,1,24,2047,2047.51,2047,2048,0,1,1,281,8,5,15,258,0,1,3292218816,168395477,1,3292218816,1.84467e+19,0,0.02259501,0.02259501,0.005648752,0.008473128,0,0,7,0,0,0,0,10,1,2,18,1.8,9,6326,99777,"0"
