"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
29,288230376151728128,4.998298,3,2048,60948,443,6,443,15,20,1750,17395,0,1153,116.6667,279.5474,4.018959,0.3332199,0.9722829,3.001021,350.1192,-0.1428571,-0.8171846,2611,0,0,64,64,0,0,64,120817397,14,1750,0,14,17395,0,1233,65535,129731.8,65535,131328,4,5,5,283,0,15,49,286,1460,64,150760356,2236080565,0.001,150760.3632,1689620858,0.02129498,0.000628992,4.018722,0.2112869,0.8502206,0.02145702,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,1656,71478,"0"
29,288230376151728128,5.001304,3,2048,443,60948,6,443,20,15,17395,1750,0,1368,869.75,539.2313,4.019079,0.2500652,0.863197,3.998957,3478.093,0.1428571,0.8171846,531,50635,14884,56,56,0,0,68,4023210331,20,17395,0,20,1750,0,9760,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1380,512,2236081507,150760356,0.001,2236081.613,1687535537,0.000162048,6.2e-05,0.884066,0.05999026,0.2127867,0.2712771,0.8764435,0,0,0,0,0,1,9,6,16,16,2.666667,256,233509,"0"
31,288230376151728128,4.995324,3,2048,60949,443,6,443,13,18,1750,17395,0,1153,134.6154,296.5138,4.030576,0.3842557,1.031145,2.602434,350.3276,-0.1612903,-0.8171846,2611,0,0,64,64,0,0,64,1597008181,12,1750,0,12,17395,0,1233,65535,128971.5,65535,131328,4,4,5,283,0,13,43,286,1460,64,2059570425,3887816872,0.001,2059570.523,1687712053,0.02352397,0.00744,4.030279,0.2370982,0.8925429,0.02365197,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,1792,77047,"0"
31,288230376151728128,4.996691,3,2048,443,60949,6,443,18,13,17395,1750,0,1368,966.3889,502.5969,4.030456,0.2775939,0.9047196,3.602384,3481.304,0.1612903,0.8171846,531,61786,3735,56,56,0,0,68,3475760806,18,17395,0,18,1750,0,10944,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1380,512,3887817805,2059570425,0.001,3887817.99,1685883807,0.000128,0.000128,0.866071,0.06807009,0.2213377,0.3051683,0.9195777,0,0,0,0,0,1,9,6,16,16,2.666667,276,250886,"0"
32,288230376151728128,4.995518,3,2048,60950,443,6,443,15,19,1750,17410,0,1153,116.6667,279.5474,4.057395,0.3330345,0.9800445,3.002692,350.314,-0.1176471,-0.8173277,2611,0,0,64,64,0,0,64,2329649065,14,1750,0,14,17410,0,1233,65535,129936,65535,131328,5,6,6,283,0,15,49,286,1460,64,1341439315,2236090566,0.001,1341439.379,1688430190,0.021624,0.000579008,4.057169,0.2247631,0.8778856,0.02186298,0,0,0,0,0,0,9,1,8,18,2,2.25,1884,81317,"0"
32,288230376151728128,5.000313,3,2048,443,60950,6,443,19,15,17410,1750,0,1368,916.3158,518.3278,4.057221,0.2631744,0.8892179,3.799762,3481.782,0.1176471,0.8173277,531,31882,33638,56,56,0,0,68,1183650203,19,17410,0,19,1750,0,9760,65160,64517.18,64512,65160,2,0,0,795,0,19,59,286,1380,512,2236091505,1341439315,0.001,2236091.611,1687535537,0.000238976,5.2e-05,0.845184,0.05726894,0.2034472,0.282032,0.9011514,0,0,0,0,0,1,9,7,17,17,2.428571,296,268291,"0"
33,288230376151728128,4.998646,3,2048,60951,443,6,443,15,19,1750,17377,0,1153,116.6667,279.5474,4.070149,0.3332431,0.9825124,3.000813,350.0948,-0.1176471,-0.8170126,2611,0,0,64,64,0,0,64,1943831841,14,1750,0,14,17377,0,1233,65535,129759.3,65535,131328,4,6,5,283,0,15,49,286,1460,64,4064328501,3887826867,0.001,4064328.694,1685707305,0.02289798,0.000762048,4.069872,0.2237644,0.88103,0.02316999,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,2040,86926,"0"
33,288230376151728128,4.999518,3,2048,443,60951,6,443,19,15,17377,1750,0,1368,914.5789,529.3755,4.069949,0.2631325,0.8913219,3.800366,3475.735,0.1176471,0.8170126,531,42658,22862,56,56,0,0,68,2732203960,19,17377,0,19,1750,0,10944,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,3887827806,4064328501,0.001,3887827.991,1685883806,0.000272,7.71e-05,0.831319,0.05649834,0.2000697,0.2802627,0.903461,0,0,0,0,0,1,9,6,16,16,2.666667,312,285651,"0"
34,288230376151728128,4.99338,3,2048,60952,443,6,443,16,19,1750,17405,0,1153,109.375,272.0483,4.08717,0.3120863,0.9602442,3.204242,350.464,-0.08571429,-0.8172801,2611,0,0,64,64,0,0,64,2165934885,15,1750,0,15,17405,0,1233,65535,129914.9,65535,131328,5,5,6,283,0,16,52,286,1460,64,3417791799,2236100568,0.001,3417791.961,1686353847,0.02127699,0.00096896,4.086938,0.2242433,0.8848425,0.02145702,0,0,0,0,0,0,9,1,8,18,2,2.25,2134,91196,"0"
34,288230376151728128,4.994803,3,2048,443,60952,6,443,19,16,17405,1750,0,1368,916.0526,529.363,4.087049,0.2628844,0.894276,3.803954,3484.622,0.08571429,0.8172801,531,7034,58486,56,56,0,0,68,1106684924,19,17405,0,19,1750,0,9576,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,2236101502,3417791799,0.001,2236101.608,1687535537,0.000180032,4.7e-05,0.811187,0.05169119,0.1898868,0.2759345,0.904988,0,0,0,0,0,1,9,7,17,17,2.428571,332,303013,"0"
