"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
208,288230376151728128,0,3,2048,63414,7,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,61323478,0,0,0,0,0,0,0,65320,65320,65320,65320,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,9,1,1,1,1,67,0,"1"
262,288230376151728128,7.053521,3,2048,53396,7000,6,7000,7,0,0,0,0,0,0,0,2.048506,1.007646,0.4746004,0.9924121,0,1,0,19,0,0,63,63,0,96,64,1575385686,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,859143824,0,0.01,8591438.048,1682498415,0,65535,0,0,0,0,0,3,0,0,0,0,1,13,2,2,2,1,133,0,"1"
6,288230376151728128,3539.92426,3,2048,0,0,2,0,55,0,0,0,0,0,0,0,120.0133,64.36226,18.28827,0.01553706,0,1,0,1,2842,6895,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,55,0,"1"
103,288230376151728128,6.968974,3,2048,61726,7000,6,7000,7,0,0,0,0,0,0,0,1.848743,0.9955677,0.4275205,1.004452,0,1,0,19,0,0,63,63,0,96,64,100929371,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2942652739,0,0.001,2942652.879,1688136479,0,65535,0,0,0,0,0,3,0,0,0,0,1,10,1,1,1,1,11,0,"1"
1,288230376151728128,3599.342429,3,2048,61816,2408,17,61816,98829,1254244,13900578,1628980509,32,1312,140.6528,245.368,3.969282,0.03641968,0.2735933,27.45751,3861.977,-0.8539192,-0.9830778,1,0,0,64,64,0,0,16448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6e-07,3.968758,0.004776656,0.07185236,0.02210108,0.1521736,0,0,0,0,0,1,1,1,1,1,1,0,4198402,"1"
69,288230376151728128,7.013151,3,2048,53090,7000,6,7000,7,0,0,0,0,0,0,0,1.968406,1.001879,0.4522581,0.9981248,0,1,0,19,0,0,63,63,0,96,64,2740643424,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1209551728,0,0.004,4838207.142,1686248948,0,65535,0,0,0,0,0,3,0,0,0,0,1,8,1,1,1,1,8,31,"1"
114,288230376151728128,6.958041,3,2048,58023,7000,6,7000,7,0,0,0,0,0,0,0,1.837719,0.9940059,0.4229797,1.00603,0,1,0,19,0,0,63,63,0,96,64,507809366,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4097,7,49,286,1386,0,3317790764,0,0.001,3317790.922,1687770141,0,65535,0,0,0,0,0,3,0,0,0,0,1,6,1,1,1,1,91,0,"1"
162,288230376151728128,6.96356,3,2048,55144,7000,6,7000,7,0,0,0,0,0,0,0,1.946037,0.9947943,0.447801,1.005233,0,1,0,19,0,0,63,63,0,96,64,3565635610,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,3461589737,0,0.001,3461589.901,1687618601,0,65535,0,0,0,0,0,3,0,0,0,0,1,3,1,1,1,1,70,0,"1"
191,288230376151728128,7.005945,3,2048,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.001875,1.751486,1.256527,0.5709437,98.20231,1,1,1,27338,27338,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9313,1262416,"1"
95,288230376151728128,0,3,2048,67,68,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.01065699,0,0,0,0,0,0,1,1,1,1,1,1,1,300,"1"
