"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
549,288230376151728128,5.999285,3,2048,54082,443,6,443,14,21,1747,18874,0,1150,124.7857,284.463,4.034644,0.4285204,1.065512,2.333611,291.2014,-0.2,-0.8305611,2611,0,0,64,64,0,0,64,1264699933,13,1747,0,13,18874,0,1230,65535,129377.2,65535,132480,5,4,6,283,0,14,46,286,1460,64,2749273801,4234251606,0.001,2749273.932,1687456861,0.02278304,0.008086976,4.034505,0.2058171,0.8344686,0.02307501,0,0,0,0,0,0,6,1,6,10,1.666667,1.666667,136181,2129347,"0"
202,288230376151728128,4.99918,3,2048,55904,443,6,443,22,23,1747,25753,0,1150,79.40909,236.2642,4.04431,0.2272355,0.8308107,4.400722,349.4573,-0.02222222,-0.8729454,2611,0,0,64,64,0,0,64,2111709635,21,1747,0,21,25753,0,1230,65535,130087.4,65535,132480,10,7,11,283,0,22,70,286,1460,64,25726542,330544793,0.001,25726.54322,1689937248,0.021608,2.7e-05,4.044096,0.1840362,0.8040981,0.02185402,0,0,0,0,0,0,7,1,7,15,2.142857,2.142857,41308,761783,"0"
729,288230376151728128,5.99404,3,2048,443,52092,6,443,30,15,34396,1747,0,1440,1146.533,501.8264,4.08413,0.1998013,0.7783738,5.004972,5738.367,0.3333333,0.9033284,531,58747,6762,57,57,0,0,68,2193964613,30,34396,0,30,1747,0,14329,65160,64512.1,64512,65160,2,0,0,795,0,30,92,286,1452,512,2861723583,2240985599,0.001,2861723.719,1687028944,0.000172992,0.000104,1.803909,0.1210408,0.434517,0.2684433,0.8394474,0,0,0,0,0,1,7,5,9,9,1.8,11365,10671751,"0"
301,288230376151728128,4.997368,3,2048,54634,443,6,443,16,18,1747,17571,0,1150,109.1875,269.0673,4.024227,0.3123355,0.9473811,3.201685,349.584,-0.05882353,-0.8191324,2611,0,0,64,64,0,0,64,1422501124,15,1747,0,15,17571,0,1230,65535,129889.5,65535,132480,7,5,8,283,0,16,52,286,1460,64,578217246,3781674451,0.001,578217.2735,1689630911,0.02477894,1.2e-05,4.023953,0.235395,0.891484,0.02496698,0,0,0,0,0,0,9,1,8,14,1.555556,1.75,71545,1159019,"0"
273,288230376151728128,4.989425,3,2048,54610,443,6,443,16,18,1747,17569,0,1150,109.1875,271.4275,4.020661,0.3118391,0.946479,3.206782,350.1405,-0.05882353,-0.8191137,2611,0,0,64,64,0,0,64,4009769616,15,1747,0,15,17569,0,1230,65535,129460.6,65535,132480,7,4,8,283,0,16,52,286,1460,64,193114841,4237126847,0.001,193114.8502,1690015894,0.02296198,5.9e-05,4.020436,0.2351506,0.8907258,0.02311398,0,0,0,0,0,0,8,1,7,13,1.625,1.857143,64168,1040108,"0"
344,288230376151728128,9.261805,3,2048,443,53914,6,443,10,13,4388,1519,0,1400,438.8,500.4075,9.184245,0.9261805,2.595476,1.079703,473.7738,-0.1304348,0.4856949,2579,1,43140,123,123,0,160,64,1043573675,10,4388,0,10,1520,0,2769,65535,69626.33,65535,69888,0,2,1,795,0,10,32,286,1412,256,402081446,927941442,0.1,40208145.2,1649997151,0.000127,7.2e-05,9.163127,2.115125,3.678266,2.133658,3.678282,0,0,0,0,0,1,7,11,21,21,1.909091,1880,2442924,"0"
923,288230376151728128,4.992169,3,2048,56464,443,6,443,20,19,1747,17520,0,1150,87.35,244.3788,4.052019,0.2496085,0.8671882,4.006275,349.9481,0.02564103,-0.8186536,2611,0,0,64,64,0,0,64,1966311472,19,1747,0,19,17520,0,1230,65535,130247.9,65535,132480,9,6,10,283,0,20,64,286,1460,64,1355598744,4106227361,0.001,1355598.808,1688609841,0.02257203,2.4e-05,4.051805,0.2228812,0.8771118,0.02279603,0,0,0,0,0,0,7,1,7,11,1.571429,1.571429,173785,3312345,"0"
788,288230376151728128,5.998476,3,2048,52139,443,6,443,17,19,1747,17496,0,1150,102.7647,262.2209,4.045569,0.3528515,0.9872334,2.834053,291.2406,-0.05555556,-0.8184275,2611,0,0,64,64,0,0,64,2695202571,16,1747,0,16,17496,0,1230,65535,130053.6,65535,132480,7,5,8,283,0,17,55,286,1460,64,1797343376,1848866033,0.001,1797343.461,1688093600,0.02683302,2.91e-05,4.045299,0.2257047,0.8749852,0.02698605,0,0,0,0,0,0,9,1,6,10,1.111111,1.666667,196535,3409530,"0"
941,288230376151728128,5.012211,3,2048,443,56482,6,443,18,14,17495,1747,0,1440,971.9445,552.8438,4.072289,0.2784562,0.9126977,3.59123,3490.476,0.125,0.818418,531,22671,42850,57,57,0,0,68,3550364925,18,17495,0,18,1747,0,8640,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1452,512,1923453766,2923810202,0.004,7693815.429,1682271715,0.000136,6.1e-05,0.836219,0.06092536,0.2072204,0.2980433,0.9258986,0,0,0,0,0,1,5,7,11,11,1.571429,13586,13081017,"0"
56,288230376151728128,6.000616,3,2048,55063,443,6,443,16,20,1747,17396,0,1150,109.1875,269.0673,3.984125,0.3750385,1.004918,2.666393,291.1368,-0.1111111,-0.817479,2611,0,0,64,64,0,0,64,2256664526,15,1747,0,15,17396,0,1230,65535,129983,65535,132480,6,5,7,283,0,16,52,286,1460,64,1664381866,930954748,0.001,1664381.945,1688291205,0.02062502,0.000411008,3.98399,0.2112105,0.8425039,0.02081203,0,0,0,0,0,0,7,1,6,14,2,2.333333,11860,192012,"0"
302,288230376151728128,5.99255,3,2048,51745,443,6,443,16,19,1747,17492,0,1150,109.1875,269.0673,4.053434,0.3745344,1.013167,2.669982,291.5287,-0.08571429,-0.8183897,2611,0,0,64,64,0,0,64,1373852396,15,1747,0,15,17492,0,1230,65535,130018.2,65535,132480,6,6,7,283,0,16,52,286,1460,64,3853695974,4029456544,0.001,3853696.157,1686034973,0.02105101,0.000308032,4.05319,0.2246382,0.8770251,0.021216,0,0,0,0,0,0,5,1,6,12,2.4,2,70273,1242963,"0"
170,288230376151728128,1.512326,3,2048,55151,443,6,443,14,18,1058,7206,0,517,75.57143,143.9732,1.381612,0.1080233,0.3357649,9.257263,699.5846,-0.125,-0.7439497,2579,0,0,64,64,0,0,64,2093674115,10,1058,0,11,7182,1,517,65535,62569.34,0,132480,4,4,5,287,8,12,40,286,1460,64,1871942346,202755966,0.1,187194237.4,1502761834,0.003821984,0.002708,0.07957301,0.01975522,0.0265185,0.003984992,0,82,0,0,0,0,10,1,2,16,1.6,8,40796,641138,"0"
223,288230376151728128,5.988152,3,2048,443,51680,6,443,20,17,17536,1747,0,1440,876.8,590.4068,4.041053,0.2994076,0.9245054,3.339929,2928.449,0.08108108,0.8188041,531,36022,29497,57,57,0,0,68,543612377,20,17536,0,20,1747,0,3595,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,2859341571,1468452225,0.001,2859341.707,1687028944,0.000208,5.3e-05,1.849974,0.1096093,0.4221041,0.3237005,0.953079,0,0,0,0,0,1,7,5,11,11,2.2,2970,2705123,"0"
15,288230376151728128,0.040343,3,2048,53608,80,6,80,2,1,0,0,0,0,0,0,0.040343,0.0201715,0.01426341,49.57489,0,0.3333333,0,19,0,0,64,64,0,0,64,317552964,2,0,0,2,0,0,0,2048,2048,2048,2048,0,0,0,273,12288,2,6,258,0,0,1902609185,4186144995,1,1902609185,1.84467e+19,0,0.04016899,0.04016899,0.04016899,0,0,0,1,0,0,0,0,10,1,2,2,0.2,1,1700,25435,"0"
800,288230376151728128,5.005182,3,2048,55056,443,6,443,18,18,1747,17539,0,1150,97.05556,255.8576,4.080004,0.2780657,0.9129282,3.596273,349.0383,0,-0.8188323,2611,0,0,64,64,0,0,64,4198420481,17,1747,0,17,17539,0,1230,65535,130172.2,65535,132480,5,4,6,283,0,18,58,286,1460,64,1189743105,931535482,0.004,4758972.646,1685452116,0.02087104,1.8e-05,4.079784,0.2375703,0.9041017,0.02102899,0,0,0,0,0,0,7,1,7,13,1.857143,1.857143,200389,3155191,"0"
134,288230376151728128,4.992187,3,2048,443,55845,6,443,18,15,17514,1747,0,1440,973,551.7754,4.062899,0.2773437,0.910253,3.605634,3508.282,0.09090909,0.8185971,531,63780,1741,57,57,0,2,68,1954710746,18,17514,0,18,1747,0,5760,65160,64519.4,64512,65160,2,0,0,859,0,18,56,286,1452,512,4103478300,564023595,0.001,4103478.495,1685859211,0.000192,3.8e-05,0.82369,0.05594054,0.1982447,0.2929746,0.9217918,0,0,0,0,0,1,7,6,14,14,2.333333,1788,1636742,"0"
