"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
138,288230376151728128,0.035924,3,2048,7000,54104,6,7000,7,6,1708,41,0,1448,244,435.3366,0.022909,0.005132,0.006724515,194.8558,47544.82,0.07692308,0.9531161,2611,0,0,64,64,0,0,64,4176721365,7,1708,0,7,41,0,1708,65535,123926.3,65535,131712,0,1,1,795,0,7,25,286,1460,64,327337865,3225994031,1,327337865,1364424194,0.005898,0.000152,0.008098,0.005533167,0.002139277,0.01222102,0.009345767,0,0,0,0,1,2,1,1,1,1,15402338,20038090448,1,"0"
68,68,0,2,2054,0,0,0,0,1,0,28,0,28,28,28,0,0,0,0,0,0,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
56,576460752303456256,0,3,34525,5353,5353,17,5353,1,0,825,0,825,825,825,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0.25,109,12465,1,"0"
43,288230376151728128,120.000107,3,2048,5353,5353,17,5353,2,0,612,0,306,306,306,0,120.0001,60.00005,42.42645,0.01666665,5.099996,1,1,1,22981,22981,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,470740,600617316,1,"0"
19,288230376151728128,0,3,2048,53,52507,17,53,1,1,57,68,57,57,57,0,0,0,0,0,0,0,-0.088,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.002866,0,0,0,0,0,1,2,15,15,15,1,12,572,1,"0"
37,576460752303456256,69.909871,3,34525,0,0,58,0,4,3,88,72,16,24,22,2.603416,67.88736,17.47747,21.82506,0.05721653,1.258764,0.1428571,0.1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5688,142.5688,47.52293,54.87475,0,0,0,1,4,0,1,1,3,2,2,0.6666667,78,26217,1,"0"
113,288230376151728128,0,3,2048,53,64901,17,53,1,1,38,49,38,38,38,0,0,0,0,0,0,0,-0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.012664,0,0,0,0,0,2,3,7,7,3.5,1,21,1972,1,"0"
17,288230376151728128,0,3,2048,63244,53,17,53,1,1,49,38,49,49,49,0,0,0,0,0,0,0,0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006904,0.006904,0.006904,0.006904,0,0.006904,0,0,0,0,0,3,1,6,6,2,1,378854,480048747,1,"0"
14,288230376151728128,0,3,2048,53,51519,17,53,1,1,58,69,58,58,58,0,0,0,0,0,0,0,-0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004236,0,0,0,0,0,1,3,23,23,23,1,18,806,1,"0"
20,576460752303456256,1515.933497,3,34525,0,0,58,0,83,65,2332,1312,16,52,28.09639,13.96576,60.00735,18.26426,21.09952,0.05475174,1.538326,0.1216216,0.2799122,1,65535,0,64,255,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.8e-05,105.9316,9.376864,23.69226,0.236218,0,0,1,83,20,1,2,4,2,2,0.5,123,8299,1,"0"
135,288230376151728128,0.040142,3,2048,54016,7000,6,7000,6,6,41,1708,0,41,6.833333,12.68929,0.027596,0.006690334,0.008283766,149.4694,1021.374,0,-0.9531161,2579,0,0,64,64,0,0,64,3844615074,5,41,0,5,1708,0,41,65535,120018.6,65535,131712,1,2,2,283,0,6,22,286,1460,64,1395147410,244263506,1,1395147410,296614518.3,0.000365984,9e-05,0.023204,0.007853002,0.009236077,0.004156992,0,0,0,0,0,2,1,2,2,1,1,207,24340,1,"0"
114,288230376151728128,0,3,2048,53,50862,17,53,1,1,39,50,39,39,39,0,0,0,0,0,0,0,-0.1235955,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.012592,0,0,0,0,0,2,3,5,5,2.5,1,21,1972,1,"0"
119,576460752303456256,1.125724,3,34525,5353,5353,17,5353,8,0,224,0,28,28,28,0,1.02167,0.1407155,0.2998368,7.106538,198.9831,1,1,1,65535,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,164,9592,1,"0"
40,576460752303456256,0,3,34525,0,0,58,0,1,4,24,88,24,24,24,0,0,0,0,0,0,-0.6,-0.5714286,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.083808,0.000194016,7.083808,7.083808,0,7.083808,0,0,1,1,0,1,2,1,1,1,1,199,60912,1,"0"
107,288230376151728128,0,3,2048,5353,5353,17,5353,1,0,68,0,68,68,68,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,122,13018,1,"0"
39,288230376151728128,0,3,2048,5353,5353,17,5353,1,0,306,0,306,306,306,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,922383,1165187109,1,"0"
81,288230376151728128,51.097188,3,2048,5353,5353,17,5353,9,0,288,0,28,40,32,5.278846,46.99971,5.677465,13.54438,0.1761349,5.636318,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,23,1237,1,"0"
95,288230376151728128,0,3,2048,5353,5353,17,5353,1,0,306,0,306,306,306,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,2555551,3323784906,1,"0"
39,576460752303456256,135.169546,3,34525,5353,5353,17,5353,36,0,8148,0,114,522,226.3333,115.9502,111.8228,3.754709,17.5933,0.2663322,60.27985,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,199,60912,1,"0"
