"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","ipOptCnt","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
143,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009556032,0.009556032,0.009556032,0.009556032,0,0.009556032,0,0,0,0,0,2,1,2,2,1,1,1192,250502,"1"
45,288230376151728128,7.006719,3,2048,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002469,1.75168,1.256768,0.5708806,98.19146,1,1,1,20859,59776,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,14081,2710919,"1"
46,576460752303456256,7.006719,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002491,1.75168,1.256776,0.5708806,98.19146,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,17,688,"1"
112,288230376151728128,0,3,2048,42388,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,1040608053,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,1,1,1,1,0,"1"
35,288230376151728128,14.438391,3,2048,443,49307,6,443,9,0,168,0,0,24,18.66667,8.297421,7.36995,1.604266,2.189017,0.6233382,11.63565,-1,1,19,1,1,57,57,0,0,16448,0,3741077957,2,24,9,0,0,0,504,504,504,504,0,0,0,281,0,9,27,258,0,0,3778941136,2996125876,0.001,3778941.315,1686775205,0,65535,0,0,0,0,0,3,0,0,0,1,15,1,22,22,22,9,168,"1"
76,288230376151728128,15.67878,3,2048,443,49358,6,443,9,0,168,0,0,24,18.66667,8.297421,7.919013,1.742087,2.355553,0.5740243,10.71512,-1,1,19,1,1,49,49,0,0,64,0,2926866263,2,24,9,0,0,0,501,501,501,501,0,0,0,281,0,9,27,258,0,0,778873760,2429975804,0.1,77887377.16,1612667161,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,3,3,3,9,168,"1"
36,288230376151728128,0,3,2048,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,65535,0,1,1,0,192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,7,1,1,1,1,26,0,"1"
27,288230376151728128,7.006802,3,2048,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002885,1.751701,1.257074,0.5708739,98.1903,1,1,1,20119,40743,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,3512,672009,"1"
56,576460752303456256,0.094275,3,34525,5353,5353,17,5353,2,0,800,0,371,429,400,20.5061,0.094275,0.0471375,0.03333125,21.21453,8485.812,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2926,567863,"1"
77,288230376151728128,59.672523,3,2048,443,49244,6,443,10,0,0,0,0,0,0,0,29.69982,5.967252,8.586171,0.1675813,0,-1,0,19,1,1,120,120,0,0,0,0,3265666761,1,0,10,0,0,0,265,265,265,265,0,0,0,273,0,10,30,258,0,0,140095636,3824366136,0.001,140095.6427,1690334284,0,65535,0,0,0,0,0,131,0,0,0,1,7,7,23,23,3.285714,154,0,"1"
