"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
24,288230376151728128,0.031447,3,2048,443,62938,6,443,3,4,24,24,0,24,8,8.326664,0.031446,0.01048233,0.01210338,95.39861,763.1888,-0.1428571,0,19,53394,1,51,51,0,0,68,491481414,2,24,2,0,0,0,505,353.5,0,505,1,0,0,285,12288,2,6,258,0,0,3711426619,797295546,0.01,37114265.36,1651966515,0,0.000188,0.002748,0.001083752,0.000882529,0.01064975,0.01108106,71,0,0,0,1,5,1,5,5,5,7,72,"0"
25,288230376151728128,0.002,3,2048,62947,443,6,443,5,4,24,24,0,24,4.8,8.331146,0.000952,4e-04,0.00036487,2500,12000,0.1111111,0,2067,0,0,64,64,0,0,64,3082166362,5,24,5,0,1,24,2047,2047.51,2047,2048,0,1,1,281,8,5,15,258,0,0,2453885962,1408832950,1,2453885962,1.84467e+19,0,0.009917008,0.009917008,0.002479252,0.003718878,0,0,7,0,0,0,5,1,2,6,1.2,3,390,39239,"0"
25,288230376151728128,0.012161,3,2048,443,62947,6,443,4,5,24,24,0,24,6,7.81025,0.012159,0.00304025,0.004559375,328.9203,1973.522,-0.1111111,0,19,36761,1,59,59,0,0,16452,4081569251,2,24,3,0,0,0,251,175.7,0,251,1,0,0,285,0,3,9,258,0,0,1408832978,2453769922,0.001,1408833.045,1687671962,0,0.000242,0.002242,0.000934803,0.000680298,0.003414055,0.00378059,71,0,0,0,1,5,1,5,5,5,4,24,"0"
1,288230376151728128,0,3,2048,49966,53,17,53,1,2,27,218,27,27,27,0,0,0,0,0,0,-0.3333333,-0.7795919,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02113798,0.01379299,0.02113798,0.02113798,0,0.02113798,0,0,0,0,0,4,1,2,2,0.5,1,657,70622,"0"
1,288230376151728128,0.007345,3,2048,53,49966,17,53,2,1,218,27,109,109,109,0,0.007345,0.0036725,0.00259685,272.2941,29680.05,0.3333333,0.7795919,1,2,2,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.02113798,0,0,0,0,0,1,4,1,1,1,1,2,218,"0"
2,288230376151728128,0,3,2048,0,0,1,0,1,0,28,0,28,28,28,0,0,0,0,0,0,-1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,1,1,2,2,1,1,1,0.5,1,657,70622,"0"
33,288230376151728128,1.831345,3,2048,62956,443,6,443,33,44,977,45880,0,517,29.60606,89.39967,1.581925,0.0554953,0.2654693,18.01954,533.4877,-0.1428571,-0.9582986,2611,0,0,64,64,0,0,64,2824091120,29,977,30,45849,1,517,65535,63400.56,0,131328,14,10,15,287,8,31,97,286,1460,64,644468926,3539602292,0.001,644468.9566,1688436459,0.03239499,0.000504,0.05124499,0.02531218,0.02147253,0.0325,0,82,0,0,0,6,1,2,8,1.333333,4,955,95377,"0"
33,288230376151728128,1.798759,3,2048,443,62956,6,443,44,33,45880,977,0,1368,1042.727,527.7479,1.616822,0.04088089,0.2376581,24.46131,25506.47,0.1428571,0.9582986,16915,1,5062,52,52,0,0,16448,838696422,44,45880,44,977,0,17057,65160,64512,64512,65160,2,0,0,795,0,44,137,318,1380,128,3539602296,644468891,0.001,3539602.464,1685541325,0.000105008,3.5e-05,1.58196,0.05169593,0.27484,0.07700811,0.2756775,2,0,0,0,1,6,1,7,7,7,44,45880,"0"
36,288230376151728128,1.506311,3,2048,62957,443,6,443,91,196,4318,250557,0,1368,47.45055,215.2967,1.351291,0.01655287,0.1399404,60.41249,2866.606,-0.3658537,-0.9661167,2611,0,1,64,64,0,0,68,4237715281,89,4318,90,250557,1,3770,65535,251327.2,65535,251456,33,35,34,283,8,91,277,286,1460,64,1487611011,1121482527,0.001,1487611.082,1687593316,0.01707398,2.2e-05,0.02016102,0.002595358,0.004239454,0.01736499,0,0,0,0,0,5,1,2,6,1.2,3,992,99321,"0"
26,288230376151728128,0,3,2048,48092,32414,17,32414,1,0,21,0,21,21,21,0,0,0,0,0,0,1,1,1,65535,0,240,240,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0.5,1,21,"0"
