"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
237,288230376151728128,0,3,2048,53,55635,17,53,1,1,169,30,169,169,169,0,0,0,0,0,0,0,0.6984925,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008769984,0,0,0,0,0,1,4,21,21,21,1,107,18324,"0"
58,288230376151728128,10.268082,3,2048,57380,443,6,443,35,16,2988,2458,0,628,85.37143,99.58107,10.09768,0.2933738,1.652231,3.408621,290.9988,0.372549,0.09731913,2579,0,0,64,64,0,0,64,1674669960,31,2988,31,2434,0,2266,65535,44957.75,0,132480,4,3,5,287,0,32,100,286,1460,64,2779810474,3025762791,0.001,2779810.606,1685955574,0.03602502,0.000417984,10.09751,0.6502428,2.33584,0.03622599,0,82,0,0,0,9,1,2,12,1.333333,6,1960,222292,"0"
229,288230376151728128,0,3,2048,53,62766,17,53,1,1,217,61,217,217,217,0,0,0,0,0,0,0,0.5611511,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005187008,0,0,0,0,0,1,4,3,3,3,1,96,16352,"0"
86,288230376151728128,0,3,2048,57993,53,17,53,1,1,49,123,49,49,49,0,0,0,0,0,0,0,-0.4302326,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004834,0.004834,0.004834,0.004834,0,0.004834,0,0,0,0,0,4,1,2,2,0.5,1,4827,554971,"0"
105,288230376151728128,120.161495,3,2048,443,57706,6,443,20,17,7218,1083,0,1440,360.9,484.0967,120.0292,6.008075,25.32902,0.1664427,60.06916,0.08108108,0.7390676,531,0,37279,61,61,0,0,16452,943103928,17,7218,18,1059,0,3873,65160,31553.92,0,65160,3,0,0,799,0,18,56,286,1452,128,4069802528,622736756,0.004,16279210.89,1672475120,0.00015,4.1e-05,0.010692,0.001533705,0.002945714,13.39919,36.60101,82,0,0,0,1,4,1,5,5,5,96,49618,"0"
121,288230376151728128,0.604118,3,2048,443,57401,6,443,18,15,11872,1483,0,1440,659.5555,612.8915,0.282428,0.03356211,0.07179347,29.7955,19651.79,0.09090909,0.7779109,16915,1,39928,55,55,0,0,64,2657158941,18,11872,18,1483,0,7376,65160,64146.99,64128,65160,2,0,0,795,0,18,59,318,1452,128,2788190026,557299109,1,2788190026,1.84467e+19,0.000231008,0.000120992,0.259017,0.03593665,0.06989646,0.1068035,0.09558216,2,0,0,0,1,15,1,19,19,19,18,11872,"0"
123,288230376151728128,0,3,2048,53,55329,17,53,1,1,140,47,140,140,140,0,0,0,0,0,0,0,0.4973262,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005364,0,0,0,0,0,1,4,7,7,7,1,46,6080,"0"
215,288230376151728128,30.816986,3,2048,443,57741,6,443,18,16,7259,2546,0,1440,403.2778,505.2648,30.57698,1.712055,6.778637,0.5840935,235.5519,0.05882353,0.4806731,1555,1,10377,55,55,0,0,16448,1891956873,18,7259,18,2546,0,2880,65160,64161.38,64128,65160,3,0,0,1566,0,18,56,286,1452,128,3381880581,2325489689,0.001,3381880.742,1685373644,6.7e-05,4.4e-05,30.55545,3.824171,9.747731,3.848645,9.747748,66,0,0,0,1,9,5,11,11,2.2,42,20651,"0"
66,288230376151728128,0,3,2048,53,55397,17,53,1,1,115,42,115,115,115,0,0,0,0,0,0,0,0.4649681,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004297984,0,0,0,0,0,1,6,27,27,27,1,40,7959,"0"
132,288230376151728128,0,3,2048,53,62308,17,53,1,1,59,43,59,59,59,0,0,0,0,0,0,0,0.1568628,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.00347296,0,0,0,0,0,1,4,11,11,11,1,58,10126,"0"
133,288230376151728128,115.48253,3,2048,57589,443,6,443,17,20,1864,6422,0,984,109.6471,233.3629,115.354,6.79309,26.07858,0.1472084,16.14097,-0.08108108,-0.5500845,2579,0,0,64,64,0,0,64,284355912,16,1864,16,6422,1,1292,65535,130717.8,65535,132480,5,5,6,283,8,17,55,286,1460,64,2857380503,2537177997,0.001,2857380.639,1685890070,0.02611098,6.5e-05,115.3537,12.87294,35.17632,0.02623498,0,2,0,0,0,6,1,2,6,1,3,6700,761291,"0"
