"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
24,288230376151728128,0,3,2048,54013,53,17,53,1,1,50,110,50,50,50,0,0,0,0,0,0,0,-0.375,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.007249984,0.007249984,0.007249984,0.007249984,0,0.007249984,0,0,0,0,0,7,1,8,8,1.142857,1,1287,146045,"0"
24,288230376151728128,0,3,2048,53,54013,17,53,1,1,110,50,110,110,110,0,0,0,0,0,0,0,0.375,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.007249984,0,0,0,0,0,1,7,7,7,7,1,9,1383,"0"
25,288230376151728128,0,3,2048,54029,53,17,53,1,1,50,82,50,50,50,0,0,0,0,0,0,0,-0.2424242,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008725952,0.008725952,0.008725952,0.008725952,0,0.008725952,0,0,0,0,0,7,1,6,6,0.8571429,1,1287,146045,"0"
28,68,0,2,2054,0,0,0,0,1,1,28,28,28,28,28,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
29,288230376151728128,0,3,2048,0,0,1,0,1,0,28,0,28,28,28,0,0,0,0,0,0,-1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,1,1,29,1,7,2,1,1,0.5,21,3935,"0"
30,288230376151728128,0,3,2048,59838,53,17,53,1,1,55,119,55,55,55,0,0,0,0,0,0,0,-0.3678161,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.007662016,0.007662016,0.007662016,0.007662016,0,0.007662016,0,0,0,0,0,7,1,4,4,0.5714286,1,1295,146970,"0"
30,288230376151728128,0,3,2048,53,59838,17,53,1,1,119,55,119,119,119,0,0,0,0,0,0,0,0.3678161,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.007662016,0,0,0,0,0,1,7,3,3,3,1,9,1383,"0"
31,288230376151728128,0,3,2048,49756,53,17,53,1,1,55,416,55,55,55,0,0,0,0,0,0,0,-0.7664543,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00688,0.00688,0.00688,0.00688,0,0.00688,0,0,0,0,0,7,1,2,2,0.2857143,1,1295,146970,"0"
31,288230376151728128,0,3,2048,53,49756,17,53,1,1,416,55,416,416,416,0,0,0,0,0,0,0,0.7664543,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.00688,0,0,0,0,0,1,7,1,1,1,1,9,1383,"0"
38,288230376151728128,0,3,2048,5353,5353,17,5353,1,0,306,0,306,306,306,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,6,1,1,2,0.3333333,2,1512,172468,"0"
42,288230376151728128,0,3,2048,138,138,17,138,1,0,198,0,198,198,198,0,0,0,0,0,0,1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,5,2,2,1,0.2,0.5,1559,178076,"0"
41,288230376151728128,1.535661,3,2048,137,137,17,137,3,0,150,0,50,50,50,0,0.819121,0.511887,0.2724886,1.953556,97.67781,1,1,1,1,1,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,2,1,0.5,0.5,26,1360,"0"
43,288230376151728128,6.248871,3,2048,137,137,17,137,7,0,404,0,50,68,57.71429,7.467551,4.713224,0.8926958,1.472792,1.120202,64.65168,1,1,1,37402,33028,64,64,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,5,1,1,1,0.2,1,1576,179942,"0"
49,68,0,2,2054,0,0,0,0,1,0,28,0,28,28,28,0,0,0,0,0,0,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
50,288230376151728128,0,3,2048,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8e-05,8e-05,8e-05,8e-05,0,8e-05,0,0,1,1,0,2,2,2,2,1,1,57,12487,"0"
50,288230376151728128,0,3,2048,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,8e-05,0,0,1,1,0,2,2,1,1,0.5,1,1730,197566,"0"
52,68,0,2,2054,0,0,0,0,1,0,46,0,46,46,46,0,0,0,0,0,0,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
46,68,32.971517,2,2054,0,0,0,0,730,0,33580,0,46,46,46,0,1.023688,0.04516645,0.06522994,22.14032,1018.455,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
